player_id,player_name,team_name,50/50,Ball Receipt*,Ball Recovery,Block,Carry,Clearance,Dispossessed,Dribble,Dribbled Past,Duel,Error,Foul Committed,Foul Won,Goal Keeper,Interception,Miscontrol,Offside,Own Goal Against,Pass,Pressure,Shield,Shot,match_id,Player Off,Player On,Bad Behaviour
348757,Kevin José Rodríguez Cortez,Ecuador,0.0,7,0,1,0,0,0,0,0,2,,0,0,0,0,0,0.0,,1,3,0.0,0,3857274,0.0,0.0,
3300,Maya Yoshida,Japan,0.0,12,1,2,11,6,0,0,0,4,,1,1,0,2,0,,,22,9,0.0,0,3857255,,,
3477,Álvaro Borja Morata Martín,Spain,0.0,29,1,0,8,0,1,0,0,1,,0,1,0,0,0,,,15,7,0.0,3,3857255,,,
3957,César Azpilicueta Tanco,Spain,0.0,65,0,1,64,0,0,1,0,1,,0,0,0,0,0,,,73,2,0.0,0,3857255,,,
5203,Sergio Busquets i Burgos,Spain,0.0,67,5,2,52,1,0,0,0,2,,1,2,0,1,1,,,74,10,0.0,1,3857255,,,
5211,Jordi Alba Ramos,Spain,0.0,49,4,0,41,0,0,0,0,0,,0,0,0,0,0,,,56,1,0.0,1,3857255,,,
5690,Yuto Nagatomo,Japan,1.0,12,0,1,6,1,1,1,0,3,,0,0,0,0,0,,,12,9,0.0,0,3857255,,,
5719,Marco Asensio Willemsen,Spain,0.0,41,0,0,26,0,0,0,0,1,,0,1,0,0,1,,,29,1,0.0,3,3857255,,,
5721,Daniel Carvajal Ramos,Spain,0.0,45,6,0,43,0,1,0,0,1,,0,0,0,1,0,,,61,5,0.0,0,3857255,,,
6748,Ferrán Torres García,Spain,0.0,31,1,0,15,0,0,2,0,3,,0,1,0,0,1,,,17,3,0.0,0,3857255,,,
6765,Rodrigo Hernández Cascante,Spain,0.0,194,8,0,178,3,0,0,0,1,,2,0,0,2,0,,,212,2,0.0,0,3857255,,,
6892,Pau Francisco Torres,Spain,0.0,178,5,1,169,0,0,0,0,1,,1,0,0,2,0,,,190,2,0.0,0,3857255,,,
8361,Ritsu Doan,Japan,0.0,9,3,3,6,2,1,1,0,0,,1,0,0,1,1,,,7,12,0.0,1,3857255,,,
8949,Takuma Asano,Japan,0.0,20,0,0,3,0,0,0,0,3,,0,0,0,0,1,,,6,6,0.0,1,3857255,,,
9411,Daichi Kamada,Japan,0.0,29,2,0,14,0,2,0,3,2,,1,0,0,0,0,,,13,22,0.0,1,3857255,,,
11748,Unai Simón Mendibil,Spain,0.0,28,2,0,23,0,0,0,0,0,,0,0,6,0,0,,,37,0,0.0,0,3857255,,,
16532,Daniel Olmo Carvajal,Spain,0.0,63,4,0,44,0,0,7,0,0,,1,0,0,0,3,,,47,12,0.0,4,3857255,,,
23527,Junya Ito,Japan,0.0,21,4,3,18,0,2,2,3,5,,0,1,0,0,2,,,24,21,0.0,1,3857255,,,
23721,Wataru Endo,Japan,0.0,0,0,1,0,1,0,0,0,0,,0,0,0,0,0,,,2,3,0.0,0,3857255,,,
23730,Takehiro Tomiyasu,Japan,0.0,1,0,3,1,0,0,0,0,0,,0,0,0,0,0,,,4,6,0.0,0,3857255,,,
25719,Shūichi Gonda,Japan,0.0,9,3,0,8,0,0,0,0,0,,0,0,12,0,0,,,23,0,0.0,0,3857255,,,
29595,Ko Itakura,Japan,0.0,12,1,0,10,3,0,1,0,4,,1,0,0,1,2,,,18,13,0.0,1,3857255,,,
30486,Pedro González López,Spain,0.0,131,11,1,123,0,1,1,1,2,,1,2,0,1,2,,,129,15,0.0,0,3857255,,,
30628,Daizen Maeda,Japan,0.0,12,1,1,2,0,0,0,0,2,,1,2,0,2,0,,,7,35,0.0,0,3857255,,,
30756,Anssumane Fati,Spain,0.0,25,2,1,16,0,0,1,0,2,,0,0,0,0,0,,,20,1,0.0,0,3857255,,,
31090,Takefusa Kubo,Japan,0.0,11,1,1,9,0,1,0,0,1,,0,1,0,0,1,,,9,27,0.0,0,3857255,,,
37208,Ao Tanaka,Japan,0.0,27,1,1,17,0,1,0,0,1,,0,2,0,3,0,,,29,17,0.0,1,3857255,,,
37211,Kaoru Mitoma,Japan,0.0,11,2,2,12,0,1,0,1,1,,2,1,0,2,3,,,11,20,0.0,0,3857255,,,
37215,Shogo Taniguchi,Japan,0.0,18,1,3,18,6,0,0,0,1,,3,0,0,0,0,,,30,6,0.0,0,3857255,,,
37221,Hidemasa Morita,Japan,1.0,27,3,5,23,3,1,1,0,0,,1,0,0,3,1,,,36,23,0.0,0,3857255,,,
39161,Alejandro Balde Martínez,Spain,0.0,54,1,1,54,0,1,0,0,6,,2,0,0,2,2,,,63,10,2.0,0,3857255,,,
68574,Nicholas Williams Arthuer,Spain,1.0,33,2,0,28,0,0,3,0,3,,0,1,0,0,1,,,25,7,0.0,0,3857255,,,
133353,Pablo Martín Páez Gavira,Spain,1.0,48,4,1,40,0,0,3,1,4,,0,3,0,0,1,,,45,11,0.0,0,3857255,,,
3233,Raheem Sterling,England,,31,0,1,17,0,1,0,2,1,,0,2,0,1,2,,,21,9,,0,3857272,,,
3244,John Stones,England,,85,0,3,75,3,0,0,0,2,,1,0,0,0,0,,,90,3,,1,3857272,,,
3308,Kieran Trippier,England,,54,3,1,45,2,1,1,1,2,,2,0,0,0,0,,,74,13,,0,3857272,,,
3318,Marcus Rashford,England,,4,0,0,3,0,0,1,1,0,,0,0,0,0,0,,,2,3,,1,3857272,,,
3336,Harry Maguire,England,,65,6,1,64,10,0,2,1,2,,2,0,0,2,0,,,79,3,,1,3857272,,,
3377,Timothy Weah,United States,,36,4,3,26,0,0,3,2,2,,0,1,0,0,3,,,25,14,,0,3857272,,,
3382,Luke Shaw,England,,64,2,2,60,2,0,1,1,0,,2,1,0,1,1,,,83,9,,0,3857272,,,
3468,Jordan Pickford,England,,16,3,0,17,0,0,0,0,0,,0,0,12,0,0,,,28,0,,0,3857272,,,
3532,Jordan Brian Henderson,England,,11,1,0,7,0,0,0,0,0,,0,1,0,0,0,,,12,2,,0,3857272,,,
3943,Declan Rice,England,,49,6,3,44,1,1,0,0,1,,0,0,0,2,0,,,60,10,,0,3857272,,,
4614,Antonee Robinson,United States,,33,6,2,36,3,2,0,1,3,,0,1,0,1,3,,,41,16,,0,3857272,,,
6806,Shaquell Moore,United States,,13,1,0,13,1,0,0,0,0,,3,0,0,0,0,,,14,5,,0,3857272,,,
7843,Mason Mount,England,,43,2,2,30,0,2,3,1,1,,3,2,0,0,1,,,32,23,,2,3857272,,,
8246,Christian Pulisic,United States,,40,5,0,37,0,0,5,0,1,,2,3,0,0,2,,,36,11,,4,3857272,,,
8526,Weston McKennie,United States,,36,6,3,27,1,1,1,0,3,,1,1,0,0,1,,,33,9,,2,3857272,,,
