country,roster_name,position,shirt_number
New Zealand (NZL),THOMAS Ryan,Midfielder,23
New Zealand (NZL),ELLIOT Callan,Defender,24
New Zealand (NZL),BAYLISS Lachlan,Midfielder,25
New Zealand (NZL),SMITH Tommy,Defender,26
Norway (NOR),NYLAND Orjan,Goalkeeper,1
Norway (NOR),THORSBY Morten,Midfielder,2
Norway (NOR),AJER Kristoffer,Defender,3
Norway (NOR),OSTIGARD Leo,Defender,4
Norway (NOR),MOLLER WOLFE,Defender,5
Norway (NOR),BERG Patrick,Midfielder,6
Norway (NOR),SORLOTH Alexander,Forward,7
Norway (NOR),BERGE Sander,Midfielder,8
Norway (NOR),HAALAND Erling,Forward,9
Norway (NOR),ODEGAARD Martin,Midfielder,10
Norway (NOR),STRAND LARSEN,Forward,11
Norway (NOR),TANGVIK Sander,Goalkeeper,12
Norway (NOR),SELVIK Egil,Goalkeeper,13
Norway (NOR),AURSNES Fredrik,Midfielder,14
Norway (NOR),BJORKAN Fredrik,Defender,15
Norway (NOR),HOLMGREN PEDERSEN,Defender,16
Norway (NOR),HEGGEM Torbjorn,Defender,17
Norway (NOR),THORSTVEDT Kristian,Midfielder,18
Norway (NOR),AASGAARD Thelo,Midfielder,19
Norway (NOR),NUSA Antonio,Forward,20
Norway (NOR),SCHJELDERUP Andreas,Midfielder,21
