country,country_clean,roster_name,position,shirt_number,player_id,database_name,database_team,matched,match_method
Iraq (IRQ),Iraq,IBRAHIM BAYESH,Midfielder,8,,,,False,unmatched
Iraq (IRQ),Iraq,ALI ALHAMADI,Forward,9,,,,False,unmatched
Iraq (IRQ),Iraq,MOHANAD ALI,Forward,10,,,,False,unmatched
Iraq (IRQ),Iraq,AHMED QASEM,Forward,11,,,,False,unmatched
Iraq (IRQ),Iraq,JALAL HASSAN,Goalkeeper,12,,,,False,unmatched
Iraq (IRQ),Iraq,ALI YOUSIF,Forward,13,,,,False,unmatched
Iraq (IRQ),Iraq,ZIDANE IQBAL,Midfielder,14,,,,False,unmatched
Iraq (IRQ),Iraq,AHMED MAKNAZI,Defender,15,,,,False,unmatched
Iraq (IRQ),Iraq,AMIR ALAMMARI,Midfielder,16,,,,False,unmatched
Iraq (IRQ),Iraq,ALI JASIM,Forward,17,,,,False,unmatched
Iraq (IRQ),Iraq,AYMEN HUSSEIN,Forward,18,,,,False,unmatched
Iraq (IRQ),Iraq,KEVIN YAKOB,Midfielder,19,,,,False,unmatched
