player_id,player_name,team_name,50/50,Ball Receipt*,Ball Recovery,Block,Carry,Clearance,Dispossessed,Dribble,Dribbled Past,Duel,Error,Foul Committed,Foul Won,Goal Keeper,Interception,Miscontrol,Offside,Own Goal Against,Pass,Pressure,Shield,Shot,Player Off,Player On,Bad Behaviour
10955,Harry Kane,England,0.0,182,12,5,105,5,4,7,1,17,0.0,1,11,0,0,11,0.0,0.0,97,31,0.0,12,1.0,1.0,0.0
10956,Eric Dier,England,0.0,36,3,0,33,1,0,0,0,1,0.0,1,0,0,0,0,0.0,0.0,42,3,0.0,0,0.0,0.0,0.0
11127,Borna Barišić,Croatia,0.0,47,3,8,39,4,0,0,2,5,0.0,5,2,0,1,0,0.0,0.0,67,19,0.0,1,0.0,0.0,0.0
11135,Ibrahima Konaté,France,1.0,206,15,6,195,15,2,0,1,14,0.0,2,3,0,9,2,0.0,0.0,228,16,0.0,2,0.0,0.0,0.0
11174,Vincent Paté Aboubakar,Cameroon,0.0,64,8,0,35,5,2,7,0,5,0.0,3,2,0,0,2,0.0,0.0,31,10,0.0,6,0.0,0.0,1.0
11183,Alex Nicolao Telles,Brazil,0.0,33,2,0,27,0,0,0,0,3,0.0,1,1,0,1,0,0.0,0.0,44,4,0.0,0,2.0,2.0,0.0
11184,Otávio Edmilson da Silva Monteiro,Portugal,0.0,119,9,1,104,1,2,2,3,8,0.0,6,13,0,0,3,0.0,0.0,131,45,0.0,3,0.0,0.0,0.0
11187,Stephen Antunes Eustáquio,Canada,0.0,87,5,1,75,6,2,2,2,3,0.0,1,1,0,3,0,0.0,0.0,93,20,0.0,3,1.0,1.0,0.0
11250,Joe Rodon,Wales,0.0,137,5,4,126,14,0,0,2,9,0.0,3,1,0,3,0,0.0,0.0,162,23,1.0,0,0.0,0.0,0.0
11252,Daniel James,Wales,0.0,59,4,2,31,0,3,2,1,4,0.0,1,2,0,1,4,0.0,0.0,34,22,0.0,0,0.0,0.0,0.0
11388,Néstor Alejandro Araújo Razo,Mexico,0.0,39,6,0,39,1,1,0,0,2,0.0,2,0,0,2,0,0.0,0.0,56,5,0.0,0,0.0,0.0,0.0
11456,Lautaro Javier Martínez,Argentina,1.0,130,6,3,64,0,6,8,0,5,0.0,3,7,0,1,10,0.0,0.0,63,20,0.0,15,0.0,0.0,0.0
11493,Gleison Bremer Silva Nascimento,Brazil,0.0,69,7,1,68,7,0,0,1,1,0.0,2,0,0,0,1,0.0,0.0,85,10,0.0,1,0.0,0.0,0.0
